power,speed,width,depth,top sa,side sa
80,400,86.3772,23.1388,18.23,9.83
260,1300,82.203,40.8546,19.14,11.31
440,2200,94.5526,40.7224,19.565,12.51
620,3100,127.2874,44.3338,24.19,24.79
800,4000,141.7592,46.4386,30.405,23.78
80,266.67,93.2988,39.5944,25.63,15.49
260,866.67,120.5214,63.7706,13.705,17.97
440,1466.67,146.527,67.252,15.49,27.11
620,2066.67,132.9768,66.918,19.949,31.18
800,2666.67,147.4532,78.0622,21.625,37.74
80,200,99.3514,52.7926,16.875,17.95
260,650,138.832,71.4802,13.61,19.18
440,1100,157.2056,69.9066,11.39,34.84
800,2000,167.8332,107.8508,19.04,45.61
80,160,98.2124,53.542,18.3,17.22
260,520,189.56,97.026,14.17,33
440,880,177.2206,102.3216,12.98,36.26
620,1240,181.7942,105.7798,9.815,37.98
800,1600,211.186,132.8148,11.465,43.24
260,1466.67,85.453,47.9824,20.66,15.94
440,1466.67,146.527,67.252,19.17,27.11
620,1466.67,157.919,90.39672,18.455,22.04
260,1100,124.6042,49.514,18.445,17.59
440,1100,157.2056,69.9066,19.22,34.84
620,1100,203.4446,95.1684,10.325,35.04
